@relation 'fashion_style-weka.filters.unsupervised.attribute.Remove-R2,4-6,9,14-19,21'

@attribute 'Que tipo de roupa você prefere para sair a noite?' {'Moderna e descolada','Elegante e chic','Casual e descontraida','Sexy, bem sexy'}
@attribute 'Qual dos looks você escolheria para usar no dia a dia?' {'Chic e despretencioso','Sensual na medida certa','Amo moda e gosto de looks mais fashion','Confortável e casual'}
@attribute 'De quem você gostaria de herdar o guarda roupa?' {'Da elegantíssima Kate Middleton','Da sexy Blake Lively','Da descoladíssima Kate Moss','Adoro o ar descolado casual da top Alessandra Ambrósio'}
@attribute 'Se você ganhasse um crédito de compras, em que marca você faria a festa?' {'Zara (elegante e casual)','Planet Girls (ousada e sexy)','Urban Outfitters (cool e fashion)','Hering (casual e chic na medida certa)'}
@attribute 'Com qual desses sapatos você se identifica mais?' {'Uma bota bem descolada','Um peep toe bem sexy','Um slipper mais casual','Um clássico e elegante peep toe'}
@attribute 'Que tipo de salto você prefere?' {'Moderno e descolado','Alto e elegante','Baixo e confortável','Bem sensual'}
@attribute 'Que tipo de sapatilha você prefere?' {'Sexy,  muito sexy','Básica e cheia de charme',Clássica,'Moderna e descolada'}
@attribute 'Qual dos looks da Jennifer Lopez mais combina com você?' {'Chic e comportado','Mais casual','Fashion e cool','Sexy muito sexy'}
@attribute 'Qual o look ideal para o trabalho?' {'Sofisticada e elegante','Moderno e descolado','Sexy na medida certa','Chic e mais básico'}
@attribute fashion_style {fashion,casual/romantica,sexy,elegante}

@data
'Elegante e chic','Sensual na medida certa','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um peep toe bem sexy','Alto e elegante','Básica e cheia de charme','Fashion e cool','Sexy na medida certa',elegante
'Moderna e descolada','Chic e despretencioso','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Elegante e chic','Confortável e casual','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante','Básica e cheia de charme','Chic e comportado','Sofisticada e elegante',casual/romantica
'Elegante e chic','Sensual na medida certa','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Um clássico e elegante peep toe','Baixo e confortável',Clássica,'Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um slipper mais casual','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável','Básica e cheia de charme','Mais casual','Sofisticada e elegante',casual/romantica
'Sexy, bem sexy','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante',Clássica,'Fashion e cool','Chic e mais básico',elegante
'Casual e descontraida','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Sexy, bem sexy','Amo moda e gosto de looks mais fashion','Da sexy Blake Lively','Planet Girls (ousada e sexy)','Um clássico e elegante peep toe','Alto e elegante','Moderna e descolada','Sexy muito sexy','Sofisticada e elegante',sexy
'Casual e descontraida','Sensual na medida certa','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante','Sexy,  muito sexy','Mais casual','Sofisticada e elegante',casual/romantica
'Elegante e chic','Chic e despretencioso','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um peep toe bem sexy','Alto e elegante','Básica e cheia de charme','Mais casual','Moderno e descolado',elegante
'Moderna e descolada','Sensual na medida certa','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Um peep toe bem sexy','Alto e elegante','Básica e cheia de charme','Mais casual','Sofisticada e elegante',casual/romantica
'Sexy, bem sexy','Confortável e casual','Da sexy Blake Lively','Planet Girls (ousada e sexy)','Um peep toe bem sexy','Bem sensual','Sexy,  muito sexy','Mais casual','Chic e mais básico',sexy
'Moderna e descolada','Sensual na medida certa','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um clássico e elegante peep toe','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Casual e descontraida','Confortável e casual','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um peep toe bem sexy','Baixo e confortável','Moderna e descolada','Mais casual','Sofisticada e elegante',casual/romantica
'Casual e descontraida','Chic e despretencioso','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante','Sexy,  muito sexy','Fashion e cool','Chic e mais básico',elegante
'Moderna e descolada','Confortável e casual','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um slipper mais casual','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Casual e descontraida','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um peep toe bem sexy','Baixo e confortável','Básica e cheia de charme','Chic e comportado','Chic e mais básico',fashion
'Sexy, bem sexy','Sensual na medida certa','Da sexy Blake Lively','Planet Girls (ousada e sexy)','Um clássico e elegante peep toe','Bem sensual','Sexy,  muito sexy','Sexy muito sexy','Sexy na medida certa',sexy
'Elegante e chic','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um slipper mais casual','Baixo e confortável','Moderna e descolada','Chic e comportado','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Da sexy Blake Lively','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante',Clássica,'Mais casual','Chic e mais básico',fashion
'Moderna e descolada','Chic e despretencioso','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante','Básica e cheia de charme','Mais casual','Sexy na medida certa',casual/romantica
'Sexy, bem sexy','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável',Clássica,'Chic e comportado','Sexy na medida certa',sexy
'Elegante e chic','Chic e despretencioso','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante','Sexy,  muito sexy','Chic e comportado','Chic e mais básico',elegante
'Sexy, bem sexy','Chic e despretencioso','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um slipper mais casual','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Elegante e chic','Chic e despretencioso','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um clássico e elegante peep toe','Baixo e confortável','Moderna e descolada','Chic e comportado','Chic e mais básico',elegante
'Casual e descontraida','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Uma bota bem descolada','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Sensual na medida certa','Da sexy Blake Lively','Planet Girls (ousada e sexy)','Um clássico e elegante peep toe','Bem sensual','Sexy,  muito sexy','Mais casual','Chic e mais básico',sexy
'Moderna e descolada','Confortável e casual','Da sexy Blake Lively','Urban Outfitters (cool e fashion)','Um clássico e elegante peep toe','Bem sensual','Sexy,  muito sexy','Mais casual','Sofisticada e elegante',sexy
'Sexy, bem sexy','Sensual na medida certa','Da sexy Blake Lively','Planet Girls (ousada e sexy)','Um peep toe bem sexy','Alto e elegante','Básica e cheia de charme','Fashion e cool','Sexy na medida certa',fashion
'Sexy, bem sexy','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante',Clássica,'Mais casual','Sofisticada e elegante',casual/romantica
'Sexy, bem sexy','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Planet Girls (ousada e sexy)','Um slipper mais casual','Baixo e confortável','Sexy,  muito sexy','Mais casual','Chic e mais básico',casual/romantica
'Sexy, bem sexy','Sensual na medida certa','Da sexy Blake Lively','Zara (elegante e casual)','Um peep toe bem sexy','Alto e elegante','Sexy,  muito sexy','Sexy muito sexy','Sexy na medida certa',sexy
'Sexy, bem sexy','Amo moda e gosto de looks mais fashion','Da sexy Blake Lively','Planet Girls (ousada e sexy)','Um peep toe bem sexy','Bem sensual','Moderna e descolada','Fashion e cool','Sofisticada e elegante',fashion
'Elegante e chic','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Um slipper mais casual','Alto e elegante','Básica e cheia de charme','Chic e comportado','Chic e mais básico',casual/romantica
'Sexy, bem sexy','Sensual na medida certa','Da descoladíssima Kate Moss','Planet Girls (ousada e sexy)','Um peep toe bem sexy','Baixo e confortável','Sexy,  muito sexy','Sexy muito sexy','Sofisticada e elegante',sexy
'Elegante e chic','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante','Básica e cheia de charme','Fashion e cool','Chic e mais básico',casual/romantica
'Elegante e chic','Sensual na medida certa','Da sexy Blake Lively','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante','Básica e cheia de charme','Chic e comportado','Chic e mais básico',elegante
'Elegante e chic','Confortável e casual','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um slipper mais casual','Moderno e descolado','Sexy,  muito sexy','Chic e comportado','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um peep toe bem sexy','Moderno e descolado','Básica e cheia de charme','Mais casual','Moderno e descolado',casual/romantica
'Casual e descontraida','Sensual na medida certa','Da elegantíssima Kate Middleton','Planet Girls (ousada e sexy)','Um clássico e elegante peep toe','Alto e elegante',Clássica,'Mais casual','Sofisticada e elegante',casual/romantica
'Sexy, bem sexy','Sensual na medida certa','Da sexy Blake Lively','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante','Moderna e descolada','Sexy muito sexy','Sexy na medida certa',sexy
'Elegante e chic','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante','Moderna e descolada','Mais casual','Chic e mais básico',casual/romantica
'Sexy, bem sexy','Amo moda e gosto de looks mais fashion','Da descoladíssima Kate Moss','Urban Outfitters (cool e fashion)','Um clássico e elegante peep toe','Moderno e descolado','Básica e cheia de charme','Fashion e cool','Sofisticada e elegante',elegante
'Moderna e descolada','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um peep toe bem sexy','Alto e elegante','Sexy,  muito sexy','Chic e comportado','Chic e mais básico',elegante
'Moderna e descolada','Chic e despretencioso','Da sexy Blake Lively','Planet Girls (ousada e sexy)','Um peep toe bem sexy','Moderno e descolado','Moderna e descolada','Fashion e cool','Sofisticada e elegante',fashion
'Moderna e descolada','Sensual na medida certa','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um peep toe bem sexy','Baixo e confortável','Moderna e descolada','Chic e comportado','Sofisticada e elegante',casual/romantica
'Sexy, bem sexy','Confortável e casual','Da sexy Blake Lively','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',fashion
'Moderna e descolada','Chic e despretencioso','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um peep toe bem sexy','Baixo e confortável',Clássica,'Mais casual','Chic e mais básico',elegante
'Sexy, bem sexy','Confortável e casual','Da descoladíssima Kate Moss','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Elegante e chic','Confortável e casual','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante',Clássica,'Chic e comportado','Chic e mais básico',elegante
'Moderna e descolada','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um peep toe bem sexy','Alto e elegante','Básica e cheia de charme','Mais casual','Chic e mais básico',elegante
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um slipper mais casual','Baixo e confortável',Clássica,'Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Da descoladíssima Kate Moss','Urban Outfitters (cool e fashion)','Um clássico e elegante peep toe','Baixo e confortável','Sexy,  muito sexy','Fashion e cool','Sofisticada e elegante',fashion
'Moderna e descolada','Confortável e casual','Da elegantíssima Kate Middleton','Urban Outfitters (cool e fashion)','Um slipper mais casual','Baixo e confortável','Moderna e descolada','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Chic e despretencioso','Da descoladíssima Kate Moss','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante',Clássica,'Mais casual','Chic e mais básico',fashion
'Elegante e chic','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um slipper mais casual','Baixo e confortável','Moderna e descolada','Mais casual','Chic e mais básico',casual/romantica
'Sexy, bem sexy','Sensual na medida certa','Da elegantíssima Kate Middleton','Planet Girls (ousada e sexy)','Um peep toe bem sexy','Alto e elegante','Moderna e descolada','Fashion e cool','Chic e mais básico',fashion
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante','Moderna e descolada','Mais casual','Chic e mais básico',casual/romantica
'Casual e descontraida','Chic e despretencioso','Da elegantíssima Kate Middleton','Planet Girls (ousada e sexy)','Um peep toe bem sexy','Alto e elegante','Sexy,  muito sexy','Fashion e cool','Sexy na medida certa',sexy
'Moderna e descolada','Amo moda e gosto de looks mais fashion','Da descoladíssima Kate Moss','Planet Girls (ousada e sexy)','Um peep toe bem sexy','Alto e elegante','Moderna e descolada','Fashion e cool','Chic e mais básico',casual/romantica
'Elegante e chic','Chic e despretencioso','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um peep toe bem sexy','Alto e elegante',Clássica,'Mais casual','Sofisticada e elegante',casual/romantica
'Sexy, bem sexy','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Um clássico e elegante peep toe','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Chic e despretencioso','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Um peep toe bem sexy','Moderno e descolado','Moderna e descolada','Mais casual','Chic e mais básico',fashion
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Casual e descontraida','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável','Moderna e descolada','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um peep toe bem sexy','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Chic e despretencioso','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável',Clássica,'Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um slipper mais casual','Baixo e confortável','Moderna e descolada','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Chic e despretencioso','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Sensual na medida certa','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante',Clássica,'Mais casual','Sofisticada e elegante',fashion
'Moderna e descolada','Chic e despretencioso','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável','Moderna e descolada','Mais casual','Chic e mais básico',casual/romantica
'Casual e descontraida','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Chic e despretencioso','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um slipper mais casual','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Um clássico e elegante peep toe','Bem sensual','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Elegante e chic','Sensual na medida certa','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um peep toe bem sexy','Alto e elegante','Moderna e descolada','Chic e comportado','Chic e mais básico',elegante
'Elegante e chic','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Moderno e descolado','Básica e cheia de charme','Mais casual','Sofisticada e elegante',elegante
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Um peep toe bem sexy','Baixo e confortável','Moderna e descolada','Mais casual','Chic e mais básico',casual/romantica
'Casual e descontraida','Chic e despretencioso','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um slipper mais casual','Alto e elegante','Básica e cheia de charme','Mais casual','Moderno e descolado',casual/romantica
'Sexy, bem sexy','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável','Sexy,  muito sexy','Mais casual','Chic e mais básico',elegante
'Sexy, bem sexy','Amo moda e gosto de looks mais fashion','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um slipper mais casual','Baixo e confortável','Básica e cheia de charme','Mais casual','Sexy na medida certa',casual/romantica
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante','Básica e cheia de charme','Mais casual','Sofisticada e elegante',casual/romantica
'Sexy, bem sexy','Confortável e casual','Da descoladíssima Kate Moss','Hering (casual e chic na medida certa)','Um peep toe bem sexy','Moderno e descolado','Básica e cheia de charme','Fashion e cool','Moderno e descolado',casual/romantica
'Casual e descontraida','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um peep toe bem sexy','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Urban Outfitters (cool e fashion)','Um clássico e elegante peep toe','Alto e elegante','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante','Moderna e descolada','Fashion e cool','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um slipper mais casual','Baixo e confortável',Clássica,'Mais casual','Chic e mais básico',casual/romantica
'Elegante e chic','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Elegante e chic','Sensual na medida certa','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante','Moderna e descolada','Fashion e cool','Chic e mais básico',elegante
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável','Básica e cheia de charme','Mais casual','Sofisticada e elegante',casual/romantica
'Moderna e descolada','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável','Básica e cheia de charme','Mais casual','Sexy na medida certa',casual/romantica
'Elegante e chic','Chic e despretencioso','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um clássico e elegante peep toe','Baixo e confortável',Clássica,'Fashion e cool','Moderno e descolado',elegante
'Sexy, bem sexy','Sensual na medida certa','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante',Clássica,'Chic e comportado','Sexy na medida certa',sexy
'Elegante e chic','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Uma bota bem descolada','Baixo e confortável','Básica e cheia de charme','Chic e comportado','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Um clássico e elegante peep toe','Moderno e descolado',Clássica,'Mais casual','Chic e mais básico',fashion
'Sexy, bem sexy','Sensual na medida certa','Da descoladíssima Kate Moss','Planet Girls (ousada e sexy)','Um clássico e elegante peep toe','Alto e elegante','Moderna e descolada','Sexy muito sexy','Sexy na medida certa',sexy
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um slipper mais casual','Alto e elegante','Moderna e descolada','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Chic e despretencioso','Da descoladíssima Kate Moss','Zara (elegante e casual)','Um peep toe bem sexy','Alto e elegante','Básica e cheia de charme','Fashion e cool','Sofisticada e elegante',elegante
'Casual e descontraida','Sensual na medida certa','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável','Básica e cheia de charme','Mais casual','Sofisticada e elegante',casual/romantica
'Moderna e descolada','Confortável e casual','Da descoladíssima Kate Moss','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Moderno e descolado','Moderna e descolada','Mais casual','Sofisticada e elegante',casual/romantica
'Elegante e chic','Chic e despretencioso','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um peep toe bem sexy','Alto e elegante',Clássica,'Fashion e cool','Sofisticada e elegante',elegante
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Uma bota bem descolada','Baixo e confortável','Moderna e descolada','Mais casual','Chic e mais básico',fashion
'Casual e descontraida','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Um slipper mais casual','Baixo e confortável','Sexy,  muito sexy','Mais casual','Chic e mais básico',fashion
'Moderna e descolada','Sensual na medida certa','Da descoladíssima Kate Moss','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante',Clássica,'Mais casual','Sofisticada e elegante',elegante
'Moderna e descolada','Confortável e casual','Da descoladíssima Kate Moss','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Moderno e descolado','Básica e cheia de charme','Chic e comportado','Chic e mais básico',fashion
'Elegante e chic','Chic e despretencioso','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Baixo e confortável',Clássica,'Mais casual','Chic e mais básico',casual/romantica
'Sexy, bem sexy','Confortável e casual','Da elegantíssima Kate Middleton','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante','Sexy,  muito sexy','Mais casual','Sofisticada e elegante',casual/romantica
'Sexy, bem sexy','Confortável e casual','Da descoladíssima Kate Moss','Planet Girls (ousada e sexy)','Um clássico e elegante peep toe','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Elegante e chic','Amo moda e gosto de looks mais fashion','Da descoladíssima Kate Moss','Urban Outfitters (cool e fashion)','Uma bota bem descolada','Moderno e descolado','Moderna e descolada','Fashion e cool','Chic e mais básico',fashion
'Sexy, bem sexy','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante','Básica e cheia de charme','Mais casual','Sofisticada e elegante',casual/romantica
'Elegante e chic','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um peep toe bem sexy','Baixo e confortável',Clássica,'Mais casual','Sofisticada e elegante',casual/romantica
'Moderna e descolada','Sensual na medida certa','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante','Moderna e descolada','Mais casual','Sofisticada e elegante',casual/romantica
'Moderna e descolada','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um slipper mais casual','Baixo e confortável','Moderna e descolada','Mais casual','Chic e mais básico',casual/romantica
'Casual e descontraida','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um slipper mais casual','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um slipper mais casual','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Chic e despretencioso','Adoro o ar descolado casual da top Alessandra Ambrósio','Zara (elegante e casual)','Um clássico e elegante peep toe','Alto e elegante',Clássica,'Fashion e cool','Chic e mais básico',casual/romantica
'Sexy, bem sexy','Chic e despretencioso','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante',Clássica,'Sexy muito sexy','Sofisticada e elegante',sexy
'Casual e descontraida','Confortável e casual','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Um slipper mais casual','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Da sexy Blake Lively','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Moderno e descolado','Moderna e descolada','Mais casual','Chic e mais básico',casual/romantica
'Elegante e chic','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante','Básica e cheia de charme','Chic e comportado','Chic e mais básico',casual/romantica
'Moderna e descolada','Confortável e casual','Da elegantíssima Kate Middleton','Hering (casual e chic na medida certa)','Um clássico e elegante peep toe','Alto e elegante','Básica e cheia de charme','Chic e comportado','Chic e mais básico',casual/romantica
'Elegante e chic','Chic e despretencioso','Adoro o ar descolado casual da top Alessandra Ambrósio','Hering (casual e chic na medida certa)','Uma bota bem descolada','Baixo e confortável','Básica e cheia de charme','Mais casual','Chic e mais básico',casual/romantica
